[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[53.25, 'Note', 'Parte_3', 0.25, 55, None]
[53.5, 'Chord', 'Parte_1', 0.25, [75, 80, 84], None]
[53.5, 'Note', 'Parte_3', 0.25, 44, None]
[53.75, 'Note', 'Parte_1', 0.25, 87, None]
[53.75, 'Note', 'Parte_3', 0.25, 56, None]
[54.0, 'Chord', 'Parte_1', 0.25, [75, 84], None]
[54.0, 'Rest', 'Parte_2', 2.0, 0, None]
[54.0, 'Note', 'Parte_3', 0.25, 41, None]
[54.0, 'Rest', 'Parte_4', 2.0, 0, None]
[54.0, 'Rest', 'Parte_5', 2.0, 0, None]
[54.25, 'Note', 'Parte_1', 0.25, 87, None]
[54.25, 'Note', 'Parte_3', 0.25, 53, None]
[54.5, 'Chord', 'Parte_1', 0.25, [73, 82], None]
[54.5, 'Note', 'Parte_3', 0.25, 37, None]
[54.75, 'Note', 'Parte_1', 0.25, 85, None]
[54.75, 'Note', 'Parte_3', 0.25, 49, None]
[55.0, 'Chord', 'Parte_1', 0.25, [72, 80], None]
[55.0, 'Note', 'Parte_3', 0.25, 39, None]
[55.25, 'Note', 'Parte_1', 0.25, 84, None]
[55.25, 'Note', 'Parte_3', 0.25, 51, None]
[55.5, 'Chord', 'Parte_1', 0.25, [70, 79], None]
[55.5, 'Note', 'Parte_3', 0.25, 39, None]
[55.75, 'Note', 'Parte_1', 0.25, 82, None]
[55.75, 'Note', 'Parte_3', 0.25, 51, None]
[56.0, 'Chord', 'Parte_1', 0.5, [68, 80], None]
[56.0, 'Rest', 'Parte_2', 2.0, 0, None]
[56.0, 'Note', 'Parte_3', 0.5, 32, None]
[56.0, 'Rest', 'Parte_4', 2.0, 0, None]
[56.0, 'Rest', 'Parte_5', 2.0, 0, None]
[56.5, 'Rest', 'Parte_1', 0.5, 0, None]
[56.5, 'Note', 'Parte_3', 0.5, 44, None]
[57.0, 'Rest', 'Parte_1', 1.0, 0, None]
[57.0, 'Note', 'Parte_3', 0.25, 60, None]
[57.25, 'Note', 'Parte_3', 0.25, 56, None]
[57.5, 'Note', 'Parte_3', 0.25, 61, None]
[57.75, 'Note', 'Parte_3', 0.25, 53, None]
[58.0, 'Rest', 'Parte_1', 2.0, 0, None]
[58.0, 'Rest', 'Parte_2', 2.0, 0, None]
[58.0, 'Note', 'Parte_3', 0.25, 58, None]
[58.0, 'Rest', 'Parte_4', 2.0, 0, None]
[58.0, 'Rest', 'Parte_5', 2.0, 0, None]
[58.25, 'Note', 'Parte_3', 0.25, 55, None]
[58.5, 'Note', 'Parte_3', 0.25, 60, None]
[58.75, 'Note', 'Parte_3', 0.25, 52, None]
[59.0, 'Note', 'Parte_3', 0.25, 56, None]
[59.25, 'Note', 'Parte_3', 0.25, 53, None]
[59.5, 'Note', 'Parte_3', 0.25, 58, None]
[59.75, 'Note', 'Parte_3', 0.25, 50, None]
[60.0, 'Rest', 'Parte_1', 0.5, 0, None]
[60.0, 'Rest', 'Parte_2', 2.0, 0, None]
[60.0, 'Chord', 'Parte_3', 0.5, [51, 55], None]
[60.0, 'Rest', 'Parte_4', 2.0, 0, None]
[60.0, 'Rest', 'Parte_5', 2.0, 0, None]
[60.5, 'Chord', 'Parte_1', 0.5, [67, 70, 75, 79], None]
[60.5, 'Rest', 'Parte_3', 0.5, 0, None]
[61.0, 'Note', 'Parte_1', 0.25, 79, None]
[61.0, 'Note', 'Parte_3', 0.25, 63, None]
[61.25, 'Note', 'Parte_1', 0.25, 75, None]
[61.25, 'Note', 'Parte_3', 0.25, 67, None]
[61.5, 'Note', 'Parte_1', 0.25, 80, None]
[61.5, 'Note', 'Parte_3', 0.25, 60, None]
[61.75, 'Note', 'Parte_1', 0.25, 72, None]
[61.75, 'Note', 'Parte_3', 0.25, 68, None]
