r,3.0,0.0
56,1.0,493.0
61,1.0,493.0
56,1.0,494.0
61,1.0,494.0
r,1.0,495.0
56,1.0,496.0
60,1.0,497.0
63,1.0,498.0
r,1.0,499.0
68,1.0,500.0
72,1.0,500.0
68,1.0,501.0
72,1.0,501.0
68,1.0,502.0
72,1.0,502.0
r,1.0,503.0
68,1.0,504.0
72,1.0,504.0
75,1.0,504.0
68,1.0,505.0
72,1.0,505.0
75,1.0,505.0
68,1.0,506.0
72,1.0,506.0
75,1.0,506.0
r,1.0,507.0
67,1.0,508.0
70,1.0,508.0
75,1.0,508.0
67,1.0,509.0
70,1.0,509.0
75,1.0,509.0
67,1.0,510.0
70,1.0,510.0
75,1.0,510.0
r,1.0,511.0
67,1.0,512.0
70,1.0,512.0
75,1.0,512.0
67,1.0,513.0
70,1.0,513.0
75,1.0,513.0
67,1.0,514.0
70,1.0,514.0
75,1.0,514.0
r,1.0,515.0
65,1.0,516.0
68,1.0,516.0
73,1.0,516.0
65,1.0,517.0
68,1.0,517.0
73,1.0,517.0
65,1.0,518.0
68,1.0,518.0
73,1.0,518.0
r,1.0,519.0
63,1.0,520.0
69,1.0,520.0
72,1.0,520.0
63,1.0,521.0
69,1.0,521.0
72,1.0,521.0
63,1.0,522.0
69,1.0,522.0
72,1.0,522.0
r,1.0,523.0
61,1.0,524.0
65,1.0,524.0
70,1.0,524.0
61,1.0,525.0
65,1.0,525.0
70,1.0,525.0
61,1.0,526.0
65,1.0,526.0
70,1.0,526.0
r,1.0,527.0
63,1.0,528.0
72,1.0,528.0
63,1.0,529.0
73,1.0,529.0
63,1.0,530.0
73,1.0,530.0
r,1.0,531.0
67,1.0,532.0
68,1.0,533.0
67,1.0,534.0
68,1.0,535.0
63,1.0,536.0
60,1.0,537.0
56,1.0,538.0
r,1.0,539.0
55,1.0,540.0
58,1.0,540.0
63,1.0,540.0
55,1.0,541.0
58,1.0,541.0
63,1.0,541.0
55,1.0,542.0
58,1.0,542.0
63,1.0,542.0
r,1.0,543.0
58,1.0,544.0
61,1.0,544.0
63,1.0,544.0
58,1.0,545.0
61,1.0,545.0
63,1.0,545.0
58,1.0,546.0
61,1.0,546.0
63,1.0,546.0
r,1.0,547.0
56,1.0,548.0
60,1.0,548.0
63,1.0,548.0
56,1.0,549.0
60,1.0,549.0
63,1.0,549.0
56,1.0,550.0
60,1.0,550.0
63,1.0,550.0
r,1.0,551.0
60,1.0,552.0
63,1.0,552.0
68,1.0,552.0
60,1.0,553.0
63,1.0,553.0
68,1.0,553.0
